Atom_Index,Symbol,Displacement_on_c_axis_A
1,C,-0.015577679465613437
2,C,-0.015582384854575176
3,C,-0.01669793005267001
4,C,-0.016701034820198007
5,C,-0.019922174904715862
6,C,-0.019925285823856616
7,C,-0.021926590217497828
8,C,-0.021928133943654563
9,C,-0.028765274849934665
10,C,-0.028766294752342478
11,C,-0.03034533189418906
12,C,-0.0303467365173642
13,C,-0.02324212502046178
14,C,-0.02324317290231133
15,C,-0.01727097625362457
16,C,-0.017272595579972096
17,C,-0.017798343663776448
18,C,-0.017800762177048488
19,C,-0.014925292378540109
20,C,-0.014928213282769602
21,C,-0.01539719582172765
22,C,-0.015393745417562159
23,C,0.015223621841739744
24,C,0.015228018037853595
25,C,0.01557875286456344
26,C,0.015575034716183815
27,C,0.01669162488658117
28,C,0.01668845224877516
29,C,0.019247916349044658
30,C,0.019245527281736403
31,C,0.022227052140344192
32,C,0.022224900059560904
33,C,0.026041453712796737
34,C,0.026040346333970246
35,C,0.026634902048621314
36,C,0.026634750855514235
37,C,0.02343811095832233
38,C,0.023436997562739155
39,C,0.019895078922590445
40,C,0.019892699720784893
41,C,0.017887505707463957
42,C,0.017884915638678143
43,C,0.015867424496046317
44,C,0.015871431630603346
45,H,-0.014481307938360999
46,H,-0.014485641666154361
47,H,-0.020186296409095292
48,H,-0.020189627551664875
49,H,-0.03167400357519748
50,H,-0.031674829619016576
51,H,-0.03614735140173507
52,H,-0.03614766289571258
53,H,-0.02265271279816787
54,H,-0.022653488249356455
55,H,-0.010941227494840115
56,H,-0.0109433134031134
57,H,-0.011932044955840816
58,H,-0.011935257277832036
59,H,0.014700575627567927
60,H,0.014703666111816872
61,H,0.015438131004306719
62,H,0.015434827356971291
63,H,0.020942277264714114
64,H,0.020939810906959497
65,H,0.029163159324691344
66,H,0.029163090643941788
67,H,0.02937986987302551
68,H,0.02937963725870802
69,H,0.022774157891599
70,H,0.022773229547620337
71,H,0.01800010548546703
72,H,0.017997905590313147
