Atom_Index,Symbol,Displacement_on_b_axis_A
1,C,-0.10719355774644282
2,C,-0.10719365108511125
3,C,-0.11194501382663945
4,C,-0.1119450934079255
5,C,-0.12942202807200748
6,C,-0.129422090858358
7,C,-0.1395385840977937
8,C,-0.13953863320967846
9,C,-0.17618832218478628
10,C,-0.17618835412868933
11,C,-0.18917289370114404
12,C,-0.18917291235448125
13,C,-0.15737339386222932
14,C,-0.1573734155435874
15,C,-0.12401795160747009
16,C,-0.12401798954831558
17,C,-0.12048985816827769
18,C,-0.12048991036407307
19,C,-0.1046554322180948
20,C,-0.104655500965393
21,C,-0.10592542568278714
22,C,-0.10592534301371585
23,C,0.08588989130964689
24,C,0.0858899796476547
25,C,0.08988515823470092
26,C,0.08988507292098563
27,C,0.10063651724570359
28,C,0.1006364434493625
29,C,0.12714060907434202
30,C,0.12714055409277403
31,C,0.15259177133017768
32,C,0.15259172806488
33,C,0.19242872946055908
34,C,0.19242870466125742
35,C,0.2013235296057643
36,C,0.20132351275239493
37,C,0.1723723230768758
38,C,0.17237229548090122
39,C,0.1363554650218867
40,C,0.13635541808949592
41,C,0.11434498853067876
42,C,0.11434493039148726
43,C,0.09368948019673928
44,C,0.09368955743206239
45,H,-2.56582468338088e-09
46,H,-9.360658003971978e-08
47,H,-1.7855505738839125e-08
48,H,-7.831687441087994e-08
49,H,-3.3248571173767334e-08
50,H,-6.292380009025142e-08
51,H,-4.51586928591193e-08
52,H,-5.1013752800516905e-08
53,H,-4.2663434023510983e-08
54,H,-5.350895836890927e-08
55,H,-2.795488051111505e-08
56,H,-6.821749098537464e-08
57,H,-1.2571970416810079e-08
58,H,-8.360039517718174e-08
59,H,-8.921584073387109e-08
60,H,-6.95653535939463e-09
61,H,-8.153371578845102e-09
62,H,-8.801900886384428e-08
63,H,-2.3393301434082045e-08
64,H,-7.27790891073332e-08
65,H,-4.003149579670728e-08
66,H,-5.6140887628697744e-08
67,H,-4.7047121508626814e-08
68,H,-4.9125250522494886e-08
69,H,-3.727170940044854e-08
70,H,-5.8900682734698376e-08
71,H,-2.2063526831199568e-08
72,H,-7.41088042520052e-08
