Atom_Index,Symbol,Displacement_on_b_axis_A
1,C,-0.0290132070577282
2,C,-0.02901317378288276
3,C,-0.030299025958834207
4,C,-0.03029953595042047
5,C,-0.035029392979626706
6,C,-0.03502994656504678
7,C,-0.03776795434767864
8,C,-0.03776774786180611
9,C,-0.04768749015240393
10,C,-0.04768770540453717
11,C,-0.051202107692478474
12,C,-0.05120198526350987
13,C,-0.042595743277532384
14,C,-0.04259541381425769
15,C,-0.03356698126972701
16,C,-0.03356697827944007
17,C,-0.03261265350431572
18,C,-0.032612452861900065
19,C,-0.028326385111173347
20,C,-0.02832603283373531
21,C,-0.0286701817621688
22,C,-0.028669769781788874
23,C,0.0232467811178858
24,C,0.023247110620442945
25,C,0.02432883543502134
26,C,0.02432875142928108
27,C,0.027238367352780454
28,C,0.027238229382053704
29,C,0.034412373221300634
30,C,0.03441260860062401
31,C,0.041301463480055325
32,C,0.04130092645182576
33,C,0.052083329082628874
34,C,0.05208298951009976
35,C,0.05449117786484446
36,C,0.054491042675030105
37,C,0.04665467249992396
38,C,0.04665447552950145
39,C,0.03690653419617568
40,C,0.03690679409219631
41,C,0.03094938619776271
42,C,0.030948978063321763
43,C,0.025358293673937014
44,C,0.025358719923555487
45,H,-0.027376463304091058
46,H,-0.027376179658976155
47,H,-0.03577080398933324
48,H,-0.0357711506187809
49,H,-0.05102324472623412
50,H,-0.05102289050208242
51,H,-0.05963712847993572
52,H,-0.05963715377851109
53,H,-0.043177474473663796
54,H,-0.04317790766821681
55,H,-0.025349139054482796
56,H,-0.02534961019008177
57,H,-0.023776982824658573
58,H,-0.023777001599048067
59,H,0.02146251499763631
60,H,0.021462761512282703
61,H,0.023956258203648134
62,H,0.023956257671126153
63,H,0.03652346028574643
64,H,0.03652349129748306
65,H,0.05872975591836034
66,H,0.058729608212790385
67,H,0.062119079808623995
68,H,0.062119201565372026
69,H,0.04742306925533389
70,H,0.04742270215293044
71,H,0.030764724165142948
72,H,0.030764363681329003
