# Atom_Symbol   Frac_X        Frac_Y        Frac_Z
C      0.70472079   0.38859112   0.01291046
C      0.30018226   0.58555477   0.98231693
C      0.54475582   0.35864440   0.08407225
C      0.45946391   0.61452021   0.91072057
C      0.57959717   0.23171159   0.17051306
C      0.42239567   0.73761325   0.82315943
C      0.42052902   0.20353305   0.24110944
C      0.58011833   0.76360543   0.75184118
C      0.45477587   0.07526267   0.32884640
C      0.54239900   0.88375692   0.66170313
C      0.29649416   0.05118272   0.39760581
C      0.70016658   0.90471155   0.59254016
C      0.09429774   0.15436980   0.38339245
C      0.90600757   0.80824888   0.60946118
C      0.05380204   0.27776411   0.30017957
C      0.94932633   0.69232709   0.69472610
C      0.21358716   0.30656967   0.22602137
C      0.78917446   0.66463166   0.76848344
C      0.17677363   0.43112111   0.14076784
C      0.82815315   0.54356005   0.85472462
C      0.66837793   0.51381219   0.92684505
C      0.33649414   0.46063749   0.06843898
C      0.82040876   0.96567269   0.96187294
C      0.18649890   0.05362928   0.04333491
C      0.84647656   0.91048512   0.06032145
C      0.15967767   0.10987481   0.94494586
C      0.69419612   0.81257420   0.12009136
C      0.30979192   0.21060325   0.88542730
C      0.71931902   0.76045549   0.21795250
C      0.27959515   0.26969294   0.78808242
C      0.56556826   0.66169083   0.27900599
C      0.42867096   0.37501440   0.72780504
C      0.59326003   0.61303161   0.37516772
C      0.39426707   0.43409312   0.63239634
C      0.77666527   0.65930948   0.41650563
C      0.20935734   0.39020277   0.59108787
C      0.92917782   0.75207681   0.36048674
C      0.06191427   0.28994948   0.64632925
C      0.90694198   0.80646639   0.25982262
C      0.09041390   0.22614805   0.74625974
C      0.05892894   0.90208334   0.20161075
C      0.94257141   0.12471976   0.80410558
C      0.97053212   0.06525508   0.90295645
C      0.03492185   0.95612110   0.10234442
H      0.85912587   0.32506618   0.02711341
H      0.14087414   0.67493394   0.97288629
H      0.73550642   0.17074480   0.18563865
H      0.26449359   0.82925532   0.81436105
H      0.61262939   0.01884346   0.34523945
H      0.38737062   0.98115666   0.65476025
H      0.32842490   0.97787627   0.47030251
H      0.67157511   0.02212385   0.52969718
H      0.97071335   0.15418005   0.44318929
H      0.02928666   0.84582007   0.55681041
H      0.89592199   0.36951042   0.29079170
H      0.10407802   0.63048970   0.70920800
H      0.01749480   0.52032457   0.13129990
H      0.98250521   0.47967555   0.86869980
H      0.67508893   0.92178473   0.92765743
H      0.32491108   0.07821539   0.07234227
H      0.55017362   0.76684442   0.08578300
H      0.44982639   0.23315570   0.91421669
H      0.42731682   0.60874710   0.24378357
H      0.57268319   0.39125302   0.75621612
H      0.48309208   0.50962183   0.41638464
H      0.51690793   0.49037829   0.58361506
H      0.80611579   0.59096658   0.48934863
H      0.19388422   0.40903353   0.51065107
H      0.07643580   0.76482915   0.38810455
H      0.92356421   0.23517097   0.61189515
H      0.19973375   0.92317166   0.23043835
H      0.80026626   0.07682846   0.76956135
