 Eigenvectors after division by SQRT(mass)

 Eigenvectors and eigenvalues of the dynamical matrix
 ----------------------------------------------------
 
 
   1 f  =   92.668788 THz   582.255166 2PiTHz 3091.098034 cm-1   383.247139 meV
             X         Y         Z           dx          dy          dz
4.698640 3.159745 0.216056 -0.000025 0.000022 -0.000025
2.875380 7.939936 13.908340 -0.000025 0.000022 -0.000025
3.719169 3.171409 1.224242 0.000004 -0.000006 0.000002
3.854850 7.928272 12.900154 0.000004 -0.000006 0.000002
3.905538 2.495774 2.453079 0.000143 -0.000084 0.000006
3.668481 8.603907 11.671317 0.000143 -0.000084 0.000006
2.935222 2.524374 3.455308 0.000005 0.000023 -0.000018
4.638797 8.575307 10.669088 0.000005 0.000023 -0.000018
3.123484 1.861451 4.711497 0.000089 -0.000035 0.000025
4.450535 9.238230 9.412899 0.000089 -0.000035 0.000025
2.157608 1.918712 5.685533 0.000074 -0.000158 0.000283
5.416411 9.180969 8.438863 0.000074 -0.000158 0.000283
0.941986 2.639235 5.465655 -0.000482 0.000010 0.000495
6.632033 8.460445 8.658740 -0.000482 0.000010 0.000495
0.716085 3.282691 4.275831 -0.000135 0.000078 -0.000061
6.857934 7.816990 9.848564 -0.000135 0.000078 -0.000061
1.695335 3.253034 3.231222 0.000011 0.000063 -0.000052
5.878684 7.846646 10.893173 0.000011 0.000063 -0.000052
1.495953 3.915837 2.020092 -0.000182 0.000090 -0.000023
6.078067 7.183844 12.104303 -0.000182 0.000090 -0.000023
5.098186 7.196984 13.124433 -0.000020 0.000007 0.000044
2.475833 3.902697 0.999962 -0.000020 0.000007 0.000044
6.371443 10.622440 13.549097 -0.000055 -0.000026 0.000021
1.202576 0.477240 0.575299 -0.000055 -0.000026 0.000021
5.967171 7.163488 0.814803 -0.000012 0.000006 -0.000085
1.606848 3.936193 13.309592 -0.000012 0.000006 -0.000085
4.983276 6.594891 1.657242 0.000482 0.000200 0.000165
2.590743 4.504789 12.467153 0.000482 0.000200 0.000165
5.173897 6.492191 3.035826 -0.000559 -0.000345 0.000703
2.400122 4.607490 11.088569 -0.000559 -0.000345 0.000703
4.187287 5.905941 3.892689 0.015967 0.006151 0.009855
3.386732 5.193740 10.231706 0.015967 0.006151 0.009855
4.399320 5.810569 5.245598 0.035352 0.021726 -0.030827
3.174700 5.289111 8.878798 0.035352 0.021726 -0.030827
5.610011 6.298359 5.829263 -0.003629 0.001265 -0.021060
1.964008 4.801322 8.295133 -0.003629 0.001265 -0.021060
6.586600 6.858686 5.043521 -0.007284 -0.003014 -0.002233
0.987419 4.240994 9.080875 -0.007284 -0.003014 -0.002233
6.411273 6.979367 3.626882 -0.000121 -0.000111 0.000292
1.162747 4.120314 10.497514 -0.000121 -0.000111 0.000292
1.121506 7.547218 2.807259 -0.000826 -0.000354 -0.000358
6.452513 3.552463 11.317137 -0.000826 -0.000354 -0.000358
6.632662 3.445771 12.716280 0.000039 0.000023 -0.000024
0.941357 7.653910 1.408116 0.000039 0.000023 -0.000024
5.633376 2.607569 0.382961 0.000346 -0.000209 0.000076
1.940643 8.492112 13.741435 0.000346 -0.000209 0.000076
