X,Y,Z,Eigenvectors_(dx),Eigenvectors_(dy),Eigenvectors_(dz)
4.69864,3.159745,0.216056,0.004647,-0.108089,-0.033703
2.87538,7.939936,13.90834,0.004647,-0.108089,-0.033703
3.719169,3.171409,1.224242,0.002025,-0.112617,-0.036772
3.85485,7.928272,12.900154,0.002025,-0.112617,-0.036772
3.905538,2.495774,2.453079,-0.006664,-0.129361,-0.044684
3.668481,8.603907,11.671317,-0.006664,-0.129361,-0.044684
2.935222,2.524374,3.455308,-0.011879,-0.139036,-0.049782
4.638797,8.575307,10.669088,-0.011879,-0.139036,-0.049782
3.123484,1.861451,4.711497,-0.026388,-0.174494,-0.066739
4.450535,9.23823,9.412899,-0.026388,-0.174494,-0.066739
2.157608,1.918712,5.685533,-0.029243,-0.187269,-0.069589
5.416411,9.180969,8.438863,-0.029243,-0.187269,-0.069589
0.941986,2.639235,5.465655,-0.014607,-0.156694,-0.050467
6.632033,8.460445,8.65874,-0.014607,-0.156694,-0.050467
0.716085,3.282691,4.275831,-0.002468,-0.124324,-0.035975
6.857934,7.81699,9.848564,-0.002468,-0.124324,-0.035975
1.695335,3.253034,3.231222,-0.003335,-0.1207,-0.038806
5.878684,7.846646,10.893173,-0.003335,-0.1207,-0.038806
1.495953,3.915837,2.020092,0.004992,-0.105572,-0.031831
6.078067,7.183844,12.104303,0.004992,-0.105572,-0.031831
5.098186,7.196984,13.124433,0.004676,-0.106818,-0.033303
2.475833,3.902697,0.999962,0.004676,-0.106818,-0.033303
6.371443,10.62244,13.549097,0.030124,0.083458,0.036781
1.202576,0.47724,0.575299,0.030124,0.083458,0.036781
5.967171,7.163488,0.814803,0.028162,0.087653,0.037201
1.606848,3.936193,13.309592,0.028162,0.087653,0.037201
4.983276,6.594891,1.657242,0.022464,0.098981,0.038976
2.590743,4.504789,12.467153,0.022464,0.098981,0.038976
5.173897,6.492191,3.035826,0.00923,0.126831,0.042622
2.400122,4.60749,11.088569,0.00923,0.126831,0.042622
4.187287,5.905941,3.892689,-0.002827,0.153514,0.048103
3.386732,5.19374,10.231706,-0.002827,0.153514,0.048103
4.39932,5.810569,5.245598,-0.019882,0.19511,0.053421
3.1747,5.289111,8.878798,-0.019882,0.19511,0.053421
5.610011,6.298359,5.829263,-0.023727,0.204401,0.053629
1.964008,4.801322,8.295133,-0.023727,0.204401,0.053629
6.5866,6.858686,5.043521,-0.010769,0.174119,0.048138
0.987419,4.240994,9.080875,-0.010769,0.174119,0.048138
6.411273,6.979367,3.626882,0.00525,0.136456,0.042957
1.162747,4.120314,10.497514,0.00525,0.136456,0.042957
1.121506,7.547218,2.807259,0.016034,0.113347,0.040372
6.452513,3.552463,11.317137,0.016034,0.113347,0.040372
6.632662,3.445771,12.71628,0.026344,0.091643,0.037438
0.941357,7.65391,1.408116,0.026344,0.091643,0.037438
5.633376,2.607569,0.382961,0.001995,-0.029613,-0.008987
1.940643,8.492112,13.741435,0.001995,-0.029613,-0.008987
4.840773,1.945228,2.622035,-0.002594,-0.038209,-0.013033
2.733246,9.154452,11.502361,-0.002594,-0.038209,-0.013033
4.055198,1.305234,4.8763,-0.009625,-0.05395,-0.021645
3.518821,9.794447,9.248096,-0.009625,-0.05395,-0.021645
3.038702,9.14962,6.642741,-0.011295,-0.063054,-0.024336
4.535317,1.950061,7.481655,-0.011295,-0.063054,-0.024336
6.454004,2.681878,6.259783,-0.003584,-0.046079,-0.013835
1.120015,8.417803,7.864613,-0.003584,-0.046079,-0.013835
6.050913,3.837101,4.107258,0.003046,-0.027532,-0.005626
1.523106,7.26258,10.017137,0.003046,-0.027532,-0.005626
0.561596,4.469044,1.854532,0.003591,-0.025892,-0.00713
7.012423,6.630636,12.269863,0.003591,-0.025892,-0.00713
5.439271,10.251237,13.102605,0.009262,0.022209,0.010524
2.134749,0.848443,1.021791,0.009262,0.022209,0.010524
4.050192,6.224641,1.211633,0.007918,0.025014,0.010722
3.523827,4.87504,12.912762,0.007918,0.025014,0.010722
3.25934,5.531306,3.443297,0.00101,0.039166,0.013705
4.314679,5.568374,10.681099,0.00101,0.039166,0.013705
3.638857,5.343538,5.881183,-0.008864,0.063954,0.017275
3.935162,5.756143,8.243213,-0.008864,0.063954,0.017275
5.764399,6.218295,6.911756,-0.011364,0.06783,0.016696
1.80962,4.881386,7.21264,-0.011364,0.06783,0.016696
1.257966,7.224272,5.481744,-0.00344,0.051296,0.013024
6.316053,3.875408,8.642652,-0.00344,0.051296,0.013024
2.051955,7.920628,3.254803,0.004246,0.032674,0.011875
5.522064,3.179053,10.869592,0.004246,0.032674,0.011875
