X,Y,Z,Eigenvectors_(dx),Eigenvectors_(dy),Eigenvectors_(dz)
4.69864,3.159745,0.216056,-0.003256,-0.005461,0.004133
2.87538,7.939936,13.90834,0.003256,0.005461,-0.004133
3.719169,3.171409,1.224242,0.011317,0.040022,0.017862
3.85485,7.928272,12.900154,-0.011317,-0.040022,-0.017862
3.905538,2.495774,2.453079,0.013759,0.055977,0.025345
3.668481,8.603907,11.671317,-0.013759,-0.055977,-0.025345
2.935222,2.524374,3.455308,-0.000341,0.033381,0.010974
4.638797,8.575307,10.669088,0.000341,-0.033381,-0.010974
3.123484,1.861451,4.711497,-0.025316,-0.013429,-0.009763
4.450535,9.23823,9.412899,0.025316,0.013429,0.009763
2.157608,1.918712,5.685533,-0.061331,-0.082354,-0.041755
5.416411,9.180969,8.438863,0.061331,0.082354,0.041755
0.941986,2.639235,5.465655,-0.068419,-0.097638,-0.051721
6.632033,8.460445,8.65874,0.068419,0.097638,0.051721
0.716085,3.282691,4.275831,-0.03317,-0.033818,-0.024026
6.857934,7.81699,9.848564,0.03317,0.033818,0.024026
1.695335,3.253034,3.231222,-0.000329,0.031226,0.00596
5.878684,7.846646,10.893173,0.000329,-0.031226,-0.00596
1.495953,3.915837,2.020092,0.017338,0.060713,0.018742
6.078067,7.183844,12.104303,-0.017338,-0.060713,-0.018742
5.098186,7.196984,13.124433,-0.014252,-0.044542,-0.015097
2.475833,3.902697,0.999962,0.014252,0.044542,0.015097
6.371443,10.62244,13.549097,0.018976,-0.046272,0.00083
1.202576,0.47724,0.575299,-0.018976,0.046272,-0.00083
5.967171,7.163488,0.814803,-0.05547,0.131594,0.024545
1.606848,3.936193,13.309592,0.05547,-0.131594,-0.024545
4.983276,6.594891,1.657242,-0.081032,0.196531,0.039706
2.590743,4.504789,12.467153,0.081032,-0.196531,-0.039706
5.173897,6.492191,3.035826,-0.062821,0.168146,0.035441
2.400122,4.60749,11.088569,0.062821,-0.168146,-0.035441
4.187287,5.905941,3.892689,0.021077,-0.008199,0.013046
3.386732,5.19374,10.231706,-0.021077,0.008199,-0.013046
4.39932,5.810569,5.245598,0.132,-0.243398,-0.020437
3.1747,5.289111,8.878798,-0.132,0.243398,0.020437
5.610011,6.298359,5.829263,0.12249,-0.217794,-0.020963
1.964008,4.801322,8.295133,-0.12249,0.217794,0.020963
6.5866,6.858686,5.043521,0.008222,0.026275,0.010135
0.987419,4.240994,9.080875,-0.008222,-0.026275,-0.010135
6.411273,6.979367,3.626882,-0.068531,0.186605,0.032241
1.162747,4.120314,10.497514,0.068531,-0.186605,-0.032241
1.121506,7.547218,2.807259,-0.102062,0.251922,0.035881
6.452513,3.552463,11.317137,0.102062,-0.251922,-0.035881
6.632662,3.445771,12.71628,0.071924,-0.173478,-0.024541
0.941357,7.65391,1.408116,-0.071924,0.173478,0.024541
5.633376,2.607569,0.382961,-0.001811,-0.002731,0.002668
1.940643,8.492112,13.741435,0.001811,0.002731,-0.002668
4.840773,1.945228,2.622035,0.004042,0.017076,0.008815
2.733246,9.154452,11.502361,-0.004042,-0.017076,-0.008815
4.055198,1.305234,4.8763,-0.005929,-0.000893,-0.000889
3.518821,9.794447,9.248096,0.005929,0.000893,0.000889
3.038702,9.14962,6.642741,-0.021947,-0.035493,-0.017435
4.535317,1.950061,7.481655,0.021947,0.035493,0.017435
6.454004,2.681878,6.259783,-0.029053,-0.044721,-0.023098
1.120015,8.417803,7.864613,0.029053,0.044721,0.023098
6.050913,3.837101,4.107258,-0.010021,-0.011277,-0.008313
1.523106,7.26258,10.017137,0.010021,0.011277,0.008313
0.561596,4.469044,1.854532,0.005859,0.019193,0.005233
7.012423,6.630636,12.269863,-0.005859,-0.019193,-0.005233
5.439271,10.251237,13.102605,0.009186,-0.02329,0.000848
2.134749,0.848443,1.021791,-0.009186,0.02329,-0.000848
4.050192,6.224641,1.211633,-0.019413,0.046672,0.011385
3.523827,4.87504,12.912762,0.019413,-0.046672,-0.011385
3.25934,5.531306,3.443297,0.006748,-0.003839,0.003409
4.314679,5.568374,10.681099,-0.006748,0.003839,-0.003409
3.638857,5.343538,5.881183,0.068126,-0.131677,-0.014191
3.935162,5.756143,8.243213,-0.068126,0.131677,0.014191
5.764399,6.218295,6.911756,0.058021,-0.113836,-0.013027
1.80962,4.881386,7.21264,-0.058021,0.113836,0.013027
1.257966,7.224272,5.481744,0.000623,0.012064,0.002779
6.316053,3.875408,8.642652,-0.000623,-0.012064,-0.002779
2.051955,7.920628,3.254803,-0.02937,0.073617,0.0094
5.522064,3.179053,10.869592,0.02937,-0.073617,-0.0094
